Time,Length
177.774551000,1434
177.774559000,410
177.803159000,1434
177.803166000,324
177.821516000,1434
177.821525000,582
177.828900000,1163
177.833260000,90
177.836637000,82
177.838382000,90
177.839631000,82
177.841380000,90
177.842510000,82
177.844628000,90
177.846127000,82
177.864990000,86
177.867280000,474
177.879731000,1434
177.879856000,1434
177.879981000,1434
177.880105000,1434
177.880114000,858
177.896974000,84
177.898719000,84
177.900594000,84
177.912586000,90
178.533840000,288
178.546582000,264
178.548950000,267
178.550698000,291
178.553077000,292
178.554945000,281
178.557320000,223
178.559215000,274
178.561067000,290
178.563065000,288
178.564939000,287
178.566688000,269
178.568561000,267
178.570686000,300
178.572565000,286
178.574433000,272
178.576682000,281
178.578555000,240
178.580429000,288
178.582428000,285
178.584302000,229
178.586308000,293
178.588300000,292
178.590174000,268
178.592048000,287
178.594422000,190
178.596420000,297
178.598668000,273
178.600542000,272
178.602672000,290
178.607913000,302
178.610037000,277
178.612161000,288
178.614159000,285
178.616283000,284
178.618282000,292
178.620281000,296
178.622279000,274
178.624153000,283
178.626152000,261
178.628150000,279
178.630152000,286
178.632024000,242
178.633905000,285
178.636029000,297
178.637896000,296
178.639645000,236
178.641518000,284
178.643642000,295
178.645516000,290
178.647518000,285
178.649513000,281
178.651511000,252
178.653636000,288
178.655513000,275
178.657632000,265
178.660132000,281
178.662130000,302
178.664004000,291
178.666003000,269
178.667882000,293
178.669626000,247
178.671499000,222
178.673498000,267
178.675497000,284
178.677495000,289
178.679494000,288
178.681638000,228
178.695735000,267
178.697608000,289
178.699482000,281
178.709975000,298
178.711974000,278
178.717494000,291
178.719595000,266
178.721594000,274
178.723843000,290
178.725716000,282
178.727590000,273
178.729714000,283
178.731838000,276
178.733711000,289
178.735585000,291
178.737589000,282
178.739583000,293
178.741582000,292
178.743456000,280
178.745584000,289
178.747578000,295
178.749576000,288
178.751451000,287
178.754206000,287
178.756323000,286
178.758578000,280
178.760571000,301
178.762445000,289
178.764693000,286
178.767071000,293
178.769315000,264
178.771944000,268
178.781182000,288
178.783056000,289
178.785055000,280
178.787186000,297
178.789179000,290
178.791177000,287
178.793061000,273
178.795050000,232
178.796924000,287
178.799047000,300
178.801050000,291
178.803044000,298
178.805169000,288
178.807170000,288
178.809165000,264
178.811290000,290
178.813288000,287
178.815294000,287
178.817286000,332
178.819285000,277
178.821288000,279
178.830278000,288
178.832276000,291
178.834448000,262
178.836525000,293
178.838524000,285
178.840522000,266
178.842527000,286
179.795940000,60
180.716005000,60
182.895928000,60
183.615865000,60
188.685911000,60
192.843249000,139
192.935824000,60
193.042635000,82
193.045377000,661
193.495977000,90
193.497854000,99
193.500599000,82
193.528208000,91
193.531718000,87
193.532581000,82
194.512359000,84
194.524102000,90
194.665641000,60
195.111744000,90
195.885648000,60
197.695675000,60
198.525802000,60
201.232644000,90
201.233768000,99
201.234768000,82
201.236523000,91
201.237641000,87
201.238641000,82
201.519219000,331
204.755500000,60
207.055475000,60
207.218751000,474
207.226746000,661
207.326068000,60
207.387648000,82
207.390279000,661
207.393269000,661
207.495457000,60
207.507075000,82
207.509330000,661
207.513196000,661
207.605516000,60
207.618139000,82
207.620399000,661
207.623005000,84
207.625128000,84
207.627377000,84
207.635248000,90
