Time,Length
128.166618000,99
128.202847000,221
128.319026000,130
128.382863000,174
128.431208000,117
128.470310000,60
128.475430000,60
128.478928000,117
128.566631000,117
128.615096000,60
128.619343000,60
128.623721000,117
128.670815000,60
128.678307000,60
128.682810000,117
128.726785000,60
128.731150000,60
128.734772000,99
128.763131000,221
128.799359000,130
128.827092000,174
128.854700000,99
128.883308000,221
128.923539000,174
129.019850000,99
129.079562000,212
129.107546000,212
129.317044000,60
132.558945000,184
132.590801000,184
132.627155000,216
132.639396000,184
132.655137000,216
132.666880000,184
132.683120000,216
132.710604000,60
132.722222000,216
132.750460000,133
132.778812000,145
132.790931000,184
132.842773000,139
132.871009000,60
132.875502000,151
133.027286000,206
133.162838000,149
133.190936000,201
133.259020000,194
133.278632000,201
133.294623000,117
133.310988000,201
133.323106000,226
133.342595000,201
133.362708000,99
133.374828000,201
133.590692000,216
133.639045000,201
133.643161000,128
133.679389000,201
133.687133000,216
133.710870000,201
133.719115000,216
133.747097000,201
133.750974000,216
133.779453000,201
133.787573000,216
133.815556000,201
133.823051000,225
133.851784000,201
133.867150000,142
133.911622000,201
133.919242000,99
133.951355000,201
133.986826000,206
133.994697000,201
134.031424000,149
134.043298000,201
134.107254000,194
134.119126000,201
134.299386000,117
134.323247000,201
134.331617000,226
134.378963000,201
134.399076000,99
134.443299000,201
134.451050000,184
134.599704000,201
134.606825000,184
134.722879000,201
134.731879000,184
134.767102000,201
134.779220000,184
134.815073000,201
134.822693000,184
134.911639000,201
134.918760000,193
134.946867000,201
134.958610000,142
135.075164000,184
135.102904000,60
135.107020000,99
135.131130000,184
135.158614000,184
135.186471000,184
135.327512000,60
135.783358000,205
135.926647000,60
136.426967000,86
136.626470000,60
139.551691000,184
139.583174000,222
139.631391000,225
139.683111000,130
139.714606000,174
139.738826000,117
139.810534000,60
139.818658000,60
139.823025000,117
139.886487000,60
139.890858000,117
139.942704000,60
139.947074000,60
139.951322000,117
139.991049000,60
139.994836000,60
139.998669000,117
140.034897000,60
140.039644000,60
140.043022000,117
140.098357000,60
140.102855000,60
140.106728000,117
140.158329000,60
140.162321000,60
140.166692000,99
140.191176000,225
140.227035000,130
140.255775000,174
140.282747000,99
140.310979000,225
140.351580000,117
140.390306000,60
140.395057000,60
140.402549000,99
140.426657000,225
140.463153000,130
140.491119000,174
140.518853000,117
140.575317000,60
140.578440000,60
140.582813000,117
140.622551000,60
140.626912000,117
140.667013000,60
140.671009000,60
140.674512000,117
140.715107000,60
140.719118000,60
140.722978000,117
140.766951000,60
140.771080000,60
140.774945000,117
140.814422000,60
140.818927000,60
140.822793000,117
140.862894000,60
140.867015000,60
140.871013000,99
140.903119000,225
140.939347000,130
140.966953000,99
140.995695000,225
141.043664000,117
141.084009000,60
141.086381000,60
141.091503000,99
141.123114000,225
141.170956000,130
141.199189000,174
141.226423000,117
141.282639000,60
141.286261000,60
141.290507000,117
141.326491000,60
141.331108000,117
141.366465000,60
141.370209000,60
141.375830000,117
141.414682000,60
141.418563000,60
141.423303000,117
141.466903000,60
141.470523000,60
141.475146000,117
141.514747000,60
141.518369000,60
141.522758000,117
141.558971000,60
141.562841000,60
141.566838000,99
141.594824000,225
141.642668000,130
141.670778000,99
141.695386000,225
141.734489000,117
141.770590000,60
141.774844000,60
141.779084000,117
141.814688000,60
141.819185000,117
141.863160000,60
141.867407000,60
141.878650000,60
141.884146000,117
141.922498000,60
141.926745000,60
141.931256000,117
141.982966000,60
141.986833000,60
141.990582000,117
142.026562000,60
142.030557000,60
142.035554000,117
142.075280000,60
142.078153000,60
142.083149000,117
142.118629000,60
142.122396000,60
142.126874000,117
142.178966000,60
142.186838000,60
142.190960000,60
142.199080000,117
142.239307000,60
142.246932000,60
142.475287000,216
142.503394000,216
142.531502000,216
142.559737000,216
142.586595000,145
142.616327000,190
142.666794000,184
142.695161000,222
142.742999000,117
142.786972000,60
142.790594000,60
142.795466000,60
142.838816000,117
142.967112000,60
142.974493000,60
142.978980000,117
143.038320000,60
143.042815000,60
143.046841000,60
143.050812000,117
143.102905000,60
143.112148000,60
143.114777000,60
143.239073000,60
143.322645000,117
143.362747000,60
143.370742000,60
143.374872000,117
143.435086000,60
143.439075000,60
143.442828000,60
143.450692000,117
143.502675000,60
143.511536000,60
143.515028000,60
143.519527000,117
143.558640000,60
143.562750000,60
143.566997000,117
143.611096000,60
143.619590000,60
143.622962000,60
143.638579000,117
143.686432000,60
143.690547000,60
143.698420000,60
143.703039000,117
143.754884000,60
143.758505000,60
143.763752000,117
143.798356000,60
143.803362000,60
143.810724000,117
143.851074000,60
143.859071000,60
143.867066000,117
143.907039000,60
143.914909000,60
143.918657000,117
143.954387000,60
143.958892000,60
143.966879000,117
144.011226000,60
144.019985000,60
144.022469000,117
144.062571000,60
144.066692000,60
144.070944000,117
144.110792000,60
144.115164000,60
144.191118000,117
144.234967000,60
144.238469000,60
144.243585000,117
144.282562000,60
144.286434000,60
144.291440000,117
144.330907000,60
144.334528000,60
144.838973000,117
144.874451000,60
144.879197000,60
144.887319000,117
144.926551000,60
144.930542000,60
144.935665000,117
144.974643000,60
144.979262000,60
